Date,Open,High,Low,Close,Adj Close,Volume
2000-11-08,99.067879,99.187378,94.885277,95.602295,55.478809,7312377
2000-11-09,92.495216,95.602295,91.479446,95.064529,55.166752,9464103
2000-11-10,93.690247,94.048759,88.910133,88.910133,51.595303,7121063
2000-11-13,87.774857,95.064529,87.595604,93.152489,54.057175,9084405
2000-11-14,94.885277,95.482796,94.168259,95.124283,55.201427,5387841
2000-11-15,95.124283,95.662048,93.331741,95.004784,55.132084,4351674
2000-11-16,94.885277,95.303535,93.929253,93.929253,54.507931,3911726
2000-11-17,93.989006,97.992355,93.929253,97.454590,56.553707,8072400
2000-11-20,97.036331,98.709366,96.438812,98.709366,57.281872,7768224
2000-11-21,98.709366,99.784897,94.168259,94.168259,54.646622,7511012
2000-11-22,94.168259,96.379066,93.989006,94.168259,54.646622,5791807
2000-11-24,95.004784,97.275337,94.885277,95.542542,55.444138,2612385
2000-11-27,96.020554,97.514343,94.108505,94.108505,54.611935,4044045
2000-11-28,94.407265,96.319313,93.092735,93.570747,54.299892,5019859
2000-11-29,93.451241,95.542542,92.435471,95.423042,55.374805,5778732
2000-11-30,93.690247,93.690247,88.193115,89.388145,51.872704,11141364
2000-12-01,90.284416,94.945030,90.224663,91.419693,53.051594,7871255
2000-12-04,91.778206,94.825523,91.539200,94.048759,54.577301,5822873
2000-12-05,96.020554,100.143402,95.243790,98.828873,57.351227,8163193
2000-12-06,97.275337,97.335083,90.642921,92.495216,53.675755,10561357
2000-12-07,90.881927,91.718452,89.029640,89.029640,51.664635,8286412
2000-12-08,93.690247,94.646271,91.539200,92.734222,53.814434,6423068
2000-12-11,92.256210,93.929253,89.627151,90.822182,52.704865,6470138
2000-12-12,91.061188,91.897705,88.432121,89.746651,52.080734,8277312
2000-12-13,90.702675,92.375717,86.699333,87.237091,50.624405,7314260
2000-12-14,87.954109,89.567398,87.774857,88.372368,51.283222,6413444
2000-12-15,86.042068,86.699333,83.472755,83.950768,48.717327,14910207
2000-12-18,84.488525,86.520073,84.488525,86.520073,50.208332,8047715
2000-12-19,86.221321,90.284416,85.862808,86.161568,50.000271,8059744
2000-12-20,82.098473,84.130020,81.082695,82.217972,47.711777,13158052
2000-12-21,81.739960,84.070267,76.541588,77.975624,45.249893,13310873
2000-12-22,80.783936,85.444550,80.783936,85.086044,49.376152,9951644
2000-12-26,85.086044,85.623802,80.544930,81.082695,47.052956,6330706
2000-12-27,81.022942,84.249519,79.887665,80.963196,46.983624,8624375
2000-12-28,79.827919,84.309273,78.513382,81.500954,47.295700,10249336
2000-12-29,83.114243,83.114243,80.544930,81.261948,47.157001,7263110
2001-01-02,80.783936,83.652008,80.425430,81.082695,47.052956,8375531
2001-01-03,80.066925,90.822182,80.066925,90.463669,52.496826,13357315
2001-01-04,90.583176,95.363289,88.611374,89.089386,51.699322,16129843
2001-01-05,89.806404,90.523422,86.998085,89.866158,52.150089,8413187
